ATLANTIC,GP,W,L,OTL,PTS,EAST,ATL,MET,WEST,PAC,CEN,,,
BOSBoston Bruins,40,32,4,4,68,17-3-2,6-3-2,11-0-0,15-1-2,7-0-2,8-1-0,,,
TORToronto Maple Leafs,41,25,9,7,57,14-4-3,6-1-1,8-3-2,11-5-4,5-3-3,6-2-1,,,
TBTampa Bay Lightning,38,24,13,1,49,14-9-1,8-5-0,6-4-1,10-4-0,4-2-0,6-2-0,,,
BUFBuffalo Sabres,37,20,15,2,42,9-10-2,6-7-1,3-3-1,10-5-0,6-3-0,4-2-0,,,
FLAFlorida Panthers,41,18,19,4,40,13-10-1,6-3-1,7-7-0,5-9-3,4-4-2,1-5-1,,,
DETDetroit Red Wings,38,16,15,7,39,11-12-3,4-8-2,7-4-1,5-3-4,2-2-2,3-1-2,,,
OTTOttawa Senators,39,18,18,3,39,11-9-2,6-5-0,5-4-2,7-9-1,4-6-0,3-3-1,,,
MTLMontreal Canadiens,40,16,21,3,35,7-11-0,3-6-0,4-5-0,9-10-3,4-5-1,5-5-2,,,
METROPOLITAN,GP,W,L,OTL,PTS,EAST,ATL,MET,WEST,PAC,CEN,,,
CARCarolina Hurricanes,40,25,8,7,57,14-4-2,4-2-1,10-2-1,11-4-5,7-1-2,4-3-3,,,
NJNew Jersey Devils,40,25,12,3,53,15-10-2,8-5-0,7-5-2,10-2-1,7-0-0,3-2-1,,,
WSHWashington Capitals,43,23,14,6,52,12-8-3,6-6-2,6-2-1,11-6-3,7-1-2,4-5-1,,,
NYRNew York Rangers,41,22,12,7,51,11-7-4,6-1-3,5-6-1,11-5-3,4-2-2,7-3-1,,,
PITPittsburgh Penguins,39,20,13,6,46,10-7-6,5-4-4,5-3-2,10-6-0,3-6-0,7-0-0,,,
NYINew York Islanders,41,22,17,2,46,12-8-1,3-4-1,9-4-0,10-9-1,6-3-0,4-6-1,,,
PHIPhiladelphia Flyers,40,15,18,7,37,7-14-5,3-7-1,4-7-4,8-4-2,4-2-1,4-2-1,,,
CBJColumbus Blue Jackets,39,12,25,2,26,6-19-1,2-10-0,4-9-1,6-6-1,3-0-1,3-6-0,,,
CENTRAL,GP,W,L,OTL,PTS,EAST,ATL,MET,WEST,PAC,CEN,,,
DALDallas Stars,41,24,11,6,54,12-5-3,6-3-2,6-2-1,12-6-3,4-4-0,8-2-3,,,
WPGWinnipeg Jets,40,26,13,1,53,6-6-0,4-2-0,2-4-0,20-7-1,9-4-1,11-3-0,,,
MINMinnesota Wild,39,22,14,3,47,7-4-2,6-2-2,1-2-0,15-10-1,8-6-1,7-4-0,,,
COLColorado Avalanche,38,20,15,3,43,10-7-1,2-4-0,8-3-1,10-8-2,2-5-1,8-3-1,,,
STLSt. Louis Blues,41,20,18,3,43,6-10-1,2-5-1,4-5-0,14-8-2,9-3-1,5-5-1,,,
NSHNashville Predators,38,18,14,6,42,7-6-1,1-3-1,6-3-0,11-8-5,7-3-2,4-5-3,,,
ARIArizona Coyotes,39,13,21,5,31,11-12-2,5-6-2,6-6-0,2-9-3,1-6-1,1-3-2,,,
CHIChicago Blackhawks,39,10,25,4,24,4-11-2,2-2-2,2-9-0,6-14-2,5-5-1,1-9-1,,,
PACIFIC,GP,W,L,OTL,PTS,EAST,ATL,MET,WEST,PAC,CEN,,,
VGKVegas Golden Knights,42,27,13,2,56,12-5-0,8-2-0,4-3-0,15-8-2,5-6-2,10-2-0,,,
LALos Angeles Kings,43,23,14,6,52,8-8-2,8-3-1,0-5-1,15-6-4,7-4-2,8-2-2,,,
SEASeattle Kraken,38,22,12,4,48,9-6-0,4-3-0,5-3-0,13-6-4,8-4-2,5-2-2,,,
CGYCalgary Flames,41,19,14,8,46,7-8-5,2-4-2,5-4-3,12-6-3,8-3-2,4-3-1,,,
EDMEdmonton Oilers,41,21,17,3,45,8-7-0,4-1-0,4-6-0,13-10-3,5-5-0,8-5-3,,,
VANVancouver Canucks,39,17,19,3,37,4-11-1,3-5-0,1-6-1,13-8-2,10-3-0,3-5-2,,,
SJSan Jose Sharks,41,12,21,8,32,5-10-2,3-6-1,2-4-1,7-11-6,2-6-6,5-5-0,,,
ANAAnaheim Ducks,41,12,25,4,28,5-11-1,3-7-1,2-4-0,7-14-3,6-5-1,1-9-2,,,
